bioguide,party,dwnom1d,votes_only,text_only,multimodal
leg_0000,R,0.30471707975443135,0.1764216,7.8622084,0.30552965
leg_0001,D,-1.0399841062404955,-0.5252663,9.481982,0.65884316
leg_0002,R,0.7504511958064572,0.35646477,3.962777,-0.07940791
leg_0003,R,0.9405647163912139,0.48771188,3.4295948,-0.09055908
leg_0004,D,-1.9510351886538364,-0.23322687,3.9363937,0.1418918
leg_0005,D,-1.302179506862318,-0.6776095,2.934346,-0.17420585
leg_0006,R,0.12784040316728537,-0.0911871,3.7153778,-0.15787463
leg_0007,D,-0.3162425923435822,-0.029217696,10.311502,0.43989015
leg_0008,D,-0.016801157504288795,0.100091115,10.074725,0.5351152
leg_0009,D,-0.85304392757358,-0.39583087,6.0469832,0.7313879
leg_0010,R,0.8793979748628286,0.0747948,2.8008423,0.41242474
leg_0011,R,0.7777919354289483,-0.38960582,4.3435154,0.1168093
leg_0012,R,0.06603069756121605,-0.33038083,5.5032268,-0.57915884
leg_0013,R,1.1272412069680329,-0.10787849,6.2826085,0.4051213
leg_0014,R,0.4675093422520456,0.26575887,2.1600006,-0.13984485
leg_0015,D,-0.8592924628832382,-0.34694457,9.670896,0.49419364
leg_0016,R,0.36875078408249884,0.018723164,10.286083,-0.23701793
leg_0017,D,-0.9588826008289989,-0.40988442,3.3110275,0.4517168
leg_0018,R,0.8784503013072725,0.19137526,2.4452956,0.2991634
leg_0019,D,-0.049925910986252896,0.13854982,7.7688813,0.37965867
leg_0020,D,-0.18486236354526056,0.027263617,9.308292,0.2679923
leg_0021,D,-0.6809295444039414,-0.49554875,11.155988,-0.17710453
leg_0022,R,1.2225413386740303,0.23194294,8.1343155,-0.18962063
leg_0023,D,-0.15452948206880215,-0.26411664,12.470772,0.44897228
leg_0024,D,-0.4283278221631072,-0.40133002,7.0783,0.122823365
leg_0025,D,-0.3521335504882296,-0.45295185,3.0047796,0.14400908
leg_0026,R,0.5323091855533487,-0.0016986132,6.042469,0.32045993
leg_0027,R,0.36544406436407834,0.076336324,5.770344,0.4014538
leg_0028,R,0.4127326115959884,0.3496963,10.135185,0.36240467
leg_0029,R,0.43082100300788273,-0.020849729,5.2074337,0.3483088
leg_0030,R,2.1416476008704612,0.28967342,5.0933266,0.37866193
leg_0031,D,-0.4064150163846156,-0.37654942,2.7271147,1.0036731
leg_0032,D,-0.5122427290715373,-0.0842663,16.350122,0.30389032
leg_0033,D,-0.8137727282478777,-0.50493693,2.5189395,0.24565873
leg_0034,R,0.6159794225754956,0.3279744,6.308516,0.74561805
leg_0035,R,1.1289722927208916,0.048619762,8.12247,0.656365
leg_0036,D,-0.11394745765487507,0.11860292,10.004148,0.41873664
leg_0037,D,-0.840156476962528,-0.52806515,10.4202175,0.19434221
leg_0038,D,-0.8244812156912396,-0.087879226,11.298475,0.54692274
leg_0039,R,0.6505927878247011,0.0034005002,4.1311116,0.37224454
leg_0040,R,0.7432541712034423,-0.28454927,5.268963,0.15641855
leg_0041,R,0.543154268305195,0.17600709,7.242318,-0.25334668
leg_0042,D,-0.6655097072886943,-0.29832205,5.396922,-0.145577
leg_0043,R,0.23216132306671977,0.06348567,3.109468,0.12417719
leg_0044,R,0.11668580914072822,-0.08658538,4.807139,0.17180434
leg_0045,R,0.21868859672901295,-0.0011824954,10.707633,0.38215387
leg_0046,R,0.8714287779481898,0.11891633,3.2647164,0.16291791
leg_0047,R,0.22359554877468227,-0.70584196,10.280264,-0.033060737
leg_0048,R,0.6789135630718949,-0.18931526,9.057351,0.14718466
leg_0049,R,0.06757906948889146,0.01924718,13.70388,0.13916597
leg_0050,R,0.28911939868998415,0.013077441,6.46136,0.28144163
leg_0051,R,0.6312882258385404,-0.4369721,3.208617,0.7962484
leg_0052,D,-1.4571558198556664,-0.43293953,12.569108,-0.1073181
leg_0053,D,-0.31967121635730134,-0.08397074,5.8179817,0.23771149
leg_0054,D,-0.4703726542927955,-0.23861328,1.4537418,-0.22952566
leg_0055,D,-0.6388778482433419,-0.382758,8.319214,0.03773091
leg_0056,D,-0.27514225122668373,-0.030350018,6.372804,0.6081514
leg_0057,R,1.4949413112343959,-0.023988068,2.3771734,0.0040487517
leg_0058,D,-0.8658311156932432,-0.38763595,6.474397,0.49988133
leg_0059,R,0.9682783545914808,0.17959215,3.8017292,0.50463504
